"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"
"1"	-1.22607230220272	-2.79834040039607	-0.617657699741274	-1.6794670513233	-0.146318203120633	-1.12375156517402	0.417033814323336	0.0344153852217462	0.00419311291240102
"2"	-1.6337330203884	-2.48165094344064	-0.874382029662895	-1.3915381357392	-0.201829606600357	-1.05959047422054	0.5129402980037	-0.0822132779708941	0.242802197596113
"3"	-1.55045152493575	-2.54172012839102	-0.846311113197304	-1.5041347872171	-0.247605980857118	-1.16523380654989	0.38832844194628	-0.0856168221317442	0.254189891688547
"4"	-1.72660406627871	-2.3922682098108	-0.902350877394277	-1.28537112751218	-0.127143888703249	-0.983107877372628	0.63137064467631	-0.065502611501346	0.218705698125443
"5"	-1.82072875369843	-2.31105024784645	-0.931138318238006	-1.17725459396152	-0.0632447656242809	-0.897932855661218	0.749643585495669	-0.0508502117388907	0.193145251763447
"6"	-1.90150296609225	-2.23465151956508	-0.957572048478905	-1.06855699313088	0.00410479826876053	-0.80967437305887	0.874570253259591	-0.0433301341638548	0.184685451453664
"7"	-1.10102187318373	-2.82401933657867	-0.565710955601044	-1.50392263684849	-0.122898853987473	-1.13374591097236	0.360608603140509	-0.00188868705047282	0.0703096712033197
"8"	-1.42665473744617	-2.57556383623912	-0.795182962169419	-1.32664084741866	-0.234973226542098	-1.16653572748472	0.331745824910202	-0.123979161111056	0.31884250308814
"9"	-1.64285870386682	-2.41165421660995	-0.858283858174879	-1.10962038955366	-0.124862456830451	-0.993660180980282	0.554826846806541	-0.0824679839184	0.232056371368401
"10"	-1.73698339128654	-2.3304362546456	-0.887071299018607	-1.001503856003	-0.0609633337514838	-0.908485159268872	0.6730997876259	-0.0678155841559448	0.206495925006405
"11"	-1.98848854903978	-2.11515999629099	-0.969186531267412	-0.671802536503823	0.117786947884323	-0.627866592180294	1.04423811573888	-0.0458057237513132	0.169638307268298
"12"	-1.33223698602558	-2.62022177976304	-0.629068045061363	-1.29557188119798	0.025182633775625	-1.00026525525833	0.574338658033008	0.0585540402516843	-0.0362716420294371
"13"	-1.81525032062155	-2.23770798303324	-0.911867843034815	-0.896705305819635	0.027959419777839	-0.837611526393525	0.798341267096325	-0.0561789731667229	0.200964018479272
"14"	-1.90816164670161	-2.14837518942583	-0.939815588426205	-0.790527370814181	0.102663898955612	-0.761176088225525	0.916796929406999	-0.0395357288298789	0.176848363391663
"15"	-2.06975035167902	-1.99562767288553	-0.992661946568012	-0.573121242374483	0.23738178802236	-0.584706281700735	1.16667558057291	-0.0245629958125113	0.159909607155156
"16"	-2.1462760492392	-1.93786822473178	-1.01959821241217	-0.460255910813451	0.284845860124828	-0.477426901566098	1.29456366882648	-0.0245907684799625	0.157110547322706
"17"	-2.22401510813905	-1.88822360822108	-1.04737417370867	-0.345451980707214	0.321504576128491	-0.361407937888052	1.42226903558874	-0.0266093857218022	0.15286669621587
"18"	-1.16652670111424	-2.70334219205139	-0.573081791072923	-1.10830073851724	0.00665174526401768	-0.955769570221332	0.540287883699578	-0.0126673825484461	0.0824732210722927
"19"	-1.21937505355518	-2.66922702892542	-0.716089406375904	-1.26179819299026	-0.268210652887163	-1.27324518734936	0.150424773626383	-0.165407933587697	0.394978586664864
"20"	-1.5776840115156	-2.41539690110695	-0.81703432344734	-0.936745411730884	-0.117063897763948	-1.0172943073883	0.468333286182858	-0.086339495683711	0.221315800509062
"21"	-1.75383655285855	-2.26594498252673	-0.873074087644313	-0.717981752025957	0.00339819438992095	-0.835168378211045	0.711375488912888	-0.0662252850533127	0.185831606945958
"22"	-1.92998909420151	-2.11649306394651	-0.929113851841287	-0.499218092321031	0.12386028654379	-0.653042449033786	0.954417691642918	-0.0461110744229145	0.150347413382854
"23"	-0.860072937727131	-2.893170595032	-0.34340564703613	-1.29844181444881	0.176544805099338	-0.981301224671854	0.556787643160265	0.136037336129534	-0.191477221569001
"24"	-1.66137253683414	-2.31209424098761	-0.842189129652616	-0.834186920511135	-0.0190797698235217	-0.956654829821927	0.590405308034252	-0.0690784568936864	0.208697517847148
"25"	-1.83631171683744	-2.15452749076433	-0.897389198397251	-0.617361859351413	0.112187678429152	-0.783268484188077	0.833630232255597	-0.0469734016888995	0.17465811555843
"26"	-2.01125089684074	-1.99696074054104	-0.952589267141887	-0.400536798191692	0.243455126681826	-0.609882138554227	1.07685515647694	-0.0248683464841126	0.140618713269711
"27"	-2.08777659440093	-1.93920129238729	-0.979525532986048	-0.28767146663066	0.290919198784295	-0.50260275841959	1.20474324473052	-0.0248961191515638	0.137819653437262
"28"	-2.16551565330078	-1.88955667587659	-1.00730149428255	-0.172867536524423	0.327577914787958	-0.386583794741544	1.33244861149277	-0.0269147363934035	0.133575802330426
"29"	-1.06797582119828	-2.71913296075585	-0.525947979838311	-0.933973092494517	0.0230764063657062	-0.971695044402005	0.470428640437303	-0.0343696997823056	0.114484265343483
"30"	-1.20285202756246	-2.61678384101401	-0.696207918494538	-0.976823420813273	-0.195223022710573	-1.19221975406419	0.20533479227478	-0.181648439953614	0.417065883734945
"31"	-1.50583408165143	-2.42154920244545	-0.774607933418386	-0.763579900268116	-0.107540118290407	-1.03938670335086	0.385166589031457	-0.0937771685427318	0.219125552675829
"32"	-1.77068971443057	-2.20145371040786	-0.859076876270019	-0.434459648048911	0.0677597225313255	-0.761851597153217	0.749651190199877	-0.0646349859506809	0.16516728888551
