"PC1"	"PC2"	"PC3"	"PC4"
"1"	-1.73350974248529	-1.35738984466197	-0.0114914328380952	-0.226038247332165
"2"	-1.76675624829636	-1.28682951785613	0.0607779925794422	-0.221596240404014
"3"	-1.37036607090348	-1.80631586049548	0.816510965647738	-0.348757255768848
"4"	-2.13906038477028	-0.802879152359906	-0.736611827384959	-0.103253542664432
"5"	-1.39909348435834	-1.74059398887695	0.88222045273117	-0.346627051038792
"6"	-1.56617319601633	-1.38610096004759	1.24533593167316	-0.32426551053368
"7"	-2.13818154761413	-0.766978783775199	-0.712590059146341	-0.116943384065466
"8"	-1.77299805259431	-1.21997729442331	0.111154549404022	-0.240027184239076
"9"	-1.73390490752693	-1.29384263093901	0.0324270641542222	-0.248522035668846
"10"	-2.12104884004918	-0.784448589486807	-0.736860076330687	-0.126021833129656
"11"	-2.12336429307879	-0.775641917294286	-0.729154045358289	-0.127111379697215
"12"	-1.69969622354181	-1.34540451743063	-0.0274861950801425	-0.260654266242739
"13"	-2.56919172121993	-0.136534987776009	-1.36733048184828	0.00137259172858625
"14"	-1.81055117528349	-1.08224444922784	0.232634062289447	-0.255865830815764
"15"	-1.65343031006992	-1.24113154934806	0.010968245213	-0.33959886289252
"16"	-1.94416609720705	-0.568585578908185	-0.715357374162866	-0.362148400298905
"17"	-1.51511906483496	-1.14908724490965	-0.0249172082989206	-0.496653233432025
"18"	-0.52337010377495	-0.397031229676767	-0.219016637048051	-1.65588333975074
"19"	-0.542303539283165	-0.334127435703831	-0.162258797663754	-1.66151916268878
"20"	-0.113390917750052	-0.918544635912331	0.525589017916323	-1.79449632795462
"21"	-0.599333212717591	-0.211900277960594	-0.0374730810170925	-1.65432752451083
"22"	-2.71411210540127	0.0828198478136557	-1.11005522138023	0.0685900632884429
"23"	-2.29869764379367	-0.474648360006999	-0.394032256712539	-0.0619731591268532
"24"	-2.31864284826798	-0.430643998640223	-0.349527071035136	-0.0599098898519832
"25"	-2.70649154119531	0.0801570925799837	-1.11734314215995	0.0627163484839806
"26"	-1.91724479346134	-0.955944652796025	0.398625706720016	-0.189470119269686
"27"	-1.92909473239252	-0.911366900320273	0.437725022455419	-0.194869088503183
"28"	-2.285088109754	-0.455796979394124	-0.390837866127612	-0.0809469551796028
"29"	-1.51766606052196	-1.44414196525997	1.17355929756217	-0.33073403442469
"30"	-2.29637004205885	-0.420721017840325	-0.358669989949886	-0.0834402428324011
"31"	-2.68430337436038	0.0902490553643638	-1.12630939055071	0.039201131982413
"32"	-2.26931999652514	-0.466358496384365	-0.409386610676919	-0.0912849975849688
